Patient_ID,Akkermansia,Faecalibacterium,Roseburia,Bifidobacterium,Bacteroides,Prevotella,Ruminococcus,Blautia,Collinsella,Escherichia_Shigella,Coprococcus,Alistipes,Subdoligranulum,Enterococcus,Eubacterium,Parabacteroides,Lactobacillus,Klebsiella,Streptococcus,Eggerthella,Other_Taxa
P00084,0.126,6.77,1.304,4.892,22.236,8.466,5.532,8.666,2.466,8.862,0.898,3.23,0.71,4.186,3.25,3.502,0.454,3.536,2.772,4.412,3.73
P00085,6.5,6.394,4.54,4.144,23.184,7.114,2.52,6.812,4.538,2.562,1.902,1.1,2.804,3.108,0.76,3.54,1.05,1.106,5.806,0.234,10.282
P00086,1.802,7.636,2.742,3.524,19.828,4.582,3.58,9.708,4.59,2.19,2.322,5.644,0.736,1.358,2.714,1.422,0.508,4.404,3.54,0.116,17.054
P00087,9.384,15.632,8.692,4.522,20.508,3.53,2.928,3.406,0.774,1.212,4.464,3.68,3.736,0.178,2.182,2.046,3.794,0.248,1.036,0.014,8.034
P00088,0.654,6.274,3.108,4.726,21.734,10.166,2.862,9.51,2.16,2.486,1.376,0.864,3.902,2.182,0.588,3.108,4.1,1.766,3.48,0.978,13.976
P00089,0.688,8.144,2.138,4.248,23.91,10.25,2.688,6.304,0.984,4.422,3.024,1.826,2.702,2.038,1.906,0.984,1.994,2.986,4.546,0.734,13.484
P00090,7.75,5.264,2.206,3.77,20.078,7.736,4.594,14.69,3.238,4.43,0.424,4.716,1.946,0.816,0.464,2.812,2.396,0.166,1.772,0.576,10.156
P00091,,,,,,,,,,,,,,,,,,,,,
P00092,1.054,8.306,3.854,2.31,22.778,6.162,1.988,10.868,1.392,3.568,6.898,3.432,0.762,0.36,1.854,1.216,2.086,2.246,1.062,0.414,17.39
P00093,0.4,12.274,2.756,3.244,24.05,5.584,4.356,9.976,0.654,0.95,3.3,1.57,7.214,1.106,5.414,5.76,1.61,1.298,0.922,0.196,7.366
P00094,6.424,9.138,2.42,7.15,23.848,8.394,0.432,11.124,4.324,2.308,0.478,1.056,0.852,2.424,0.64,1.128,2.898,2.97,1.09,0.728,10.174
P00095,1.648,13.188,6.876,6.734,12.276,4.744,7.468,10.166,1.862,1.202,4.514,3.348,3.514,0.032,2.876,2.48,2.418,1.652,1.36,0.07,11.572
P00096,4.146,10.412,3.552,2.91,15.794,8.682,4.948,12.39,3.212,1.768,3.564,3.088,5.608,0.034,0.384,0.934,1.758,0.096,2.78,0.314,13.626
P00097,1.138,12.678,4.896,4.56,25.14,3.882,3.918,14.4,4.036,2.448,2.946,1.65,3.178,0.532,2.444,1.774,2.318,0.534,1.112,0.17,6.246
P00098,,,,,,,,,,,,,,,,,,,,,
P00099,1.766,2.916,3.302,5.05,33.732,6.942,0.688,11.212,3.098,7.226,0.302,1.828,1.596,0.91,1.008,0.744,0.534,2.664,5.044,1.566,7.872
P00100,3.492,9.822,8.332,7.182,17.92,9.7,3.974,6.176,1.872,1.048,4.5,3.66,3.964,0.978,3.378,1.914,1.882,0.672,2.21,0.09,7.234
P00101,1.284,5.498,2.244,7.208,32.66,6.494,4.118,2.786,2.168,4.366,1.85,0.784,5.044,2.362,3.192,2.644,3.042,1.942,1.332,0.204,8.778
P00102,3.81,6.138,0.898,5.152,25.134,7.118,5.214,11.224,5.286,1.37,5.746,4.412,1.814,1.92,1.652,1.552,0.39,2.03,0.566,0.904,7.67
P00103,0.886,11.068,2.912,4.05,34.996,1.79,3.952,8.224,1.222,0.494,1.31,1.892,3.042,0.73,1.602,2.648,2.166,1.624,0.292,0.282,14.818
P00104,2.71,9.848,3.616,6.302,28.362,4.09,3.916,11.712,3.014,1.16,1.102,2.032,2.988,2.38,1.622,1.012,0.998,0.83,1.004,0.8,10.502
P00105,3.194,6.852,2.56,9.206,24.274,4.596,3.196,11.982,2.59,0.698,4.468,0.488,7.308,2.974,0.748,0.482,0.55,1.382,1.652,0.018,10.782
P00106,0.988,9.5642,3.6601,8.2922,18.8004,3.0181,2.352,10.9362,2.9221,0.588,2.8061,0.992,6.6021,0.0,2.9661,2.052,5.6381,1.02,0.298,0.782,15.7223
P00107,5.2,15.16,3.212,5.566,24.698,1.938,2.242,12.098,0.262,0.354,4.95,2.684,1.838,1.334,2.24,1.56,1.22,0.112,1.796,0.212,11.324
P00108,1.164,4.13,5.06,2.812,17.548,3.118,9.85,7.55,1.478,0.524,5.24,1.122,2.128,2.372,5.162,4.952,0.396,0.086,2.964,3.316,19.028
P00109,,,,,,,,,,,,,,,,,,,,,
P00110,7.85,11.132,4.8,5.394,16.382,6.918,6.626,5.098,0.976,1.294,1.014,4.082,1.148,0.28,0.516,3.744,5.376,0.054,2.96,0.452,13.904
P00111,0.784,5.896,3.19,4.242,13.262,7.662,2.788,17.264,4.658,1.96,4.84,1.588,3.548,3.622,5.546,1.838,1.702,0.388,1.686,5.764,7.772
P00112,3.422,10.148,3.686,6.106,19.278,11.286,1.528,8.122,2.514,1.022,2.822,2.246,0.272,0.252,1.26,1.612,1.918,0.488,1.644,4.614,15.76
P00113,1.28,12.752,4.85,4.226,16.33,11.432,2.982,10.402,4.73,0.356,2.746,6.908,4.09,0.614,2.132,3.092,0.32,0.186,2.394,1.61,6.568
P00114,2.688,13.0,3.96,6.14,21.372,2.616,2.286,10.524,1.76,0.866,2.828,3.824,2.35,0.028,1.314,3.586,0.266,0.208,2.652,0.058,17.674
P00115,1.508,8.05,3.21,6.534,23.018,8.65,7.438,9.948,1.314,4.428,3.344,1.938,3.174,1.188,0.292,1.134,0.658,0.088,0.834,0.04,13.212
P00116,2.872,10.118,3.262,3.656,15.842,10.042,4.964,7.872,1.05,0.734,4.23,4.51,2.342,1.404,2.936,6.172,1.704,1.97,1.71,0.462,12.148
P00117,,,,,,,,,,,,,,,,,,,,,
P00118,1.946,4.976,4.372,4.998,17.166,8.12,6.084,6.474,6.698,5.002,1.484,2.098,1.8,1.46,1.152,2.842,0.818,0.158,7.442,0.454,14.456
P00119,6.148,5.458,2.672,8.834,13.538,12.312,1.242,11.368,1.82,1.806,3.708,6.444,8.412,3.824,1.284,0.354,0.824,1.392,1.428,0.106,7.026
P00120,3.992,6.146,1.016,10.58,20.548,5.606,11.922,9.764,2.394,0.066,2.018,1.988,0.584,0.102,4.734,2.02,5.132,2.044,2.072,0.31,6.962
P00121,4.16,12.356,2.586,6.148,20.794,7.95,0.812,9.034,1.848,1.412,1.554,2.106,1.532,0.258,1.128,1.372,0.392,1.28,1.432,0.536,21.31
P00122,1.872,7.38,7.714,5.778,19.974,9.736,3.826,5.832,5.972,0.626,1.096,2.052,1.654,1.006,3.622,0.92,3.276,0.444,1.05,0.85,15.32
P00123,3.596,11.27,5.488,1.916,17.298,10.438,3.496,13.14,9.502,1.48,2.358,5.044,1.902,1.908,0.488,0.67,3.396,0.528,0.75,0.266,5.066
P00124,1.886,7.262,3.31,4.76,19.562,15.11,0.986,8.386,1.428,3.272,1.846,5.142,3.686,2.208,0.766,1.358,0.08,0.184,4.196,0.11,14.462
P00125,,,,,,,,,,,,,,,,,,,,,
P00126,1.234,8.026,0.824,8.23,22.604,10.246,3.16,7.37,2.636,1.318,1.524,1.996,6.102,1.75,0.19,1.67,0.998,0.438,9.06,0.734,9.89
P00127,1.3681,17.2354,4.3103,7.1106,23.1158,10.3728,1.6701,6.3345,2.4942,1.9282,0.9121,3.3103,7.5746,0.8441,0.1,0.6621,0.8301,0.0,0.056,0.086,9.6848
P00128,7.208,9.304,6.142,7.456,20.524,7.232,2.118,9.318,1.506,2.592,2.298,0.524,4.79,0.642,4.588,0.634,1.31,1.378,2.07,0.148,8.218
P00129,1.038,4.878,3.598,3.302,20.294,6.264,3.688,11.378,8.36,5.244,1.118,4.1,3.306,0.524,0.45,1.298,1.106,3.04,1.168,0.812,15.034
P00130,3.59,11.53,3.468,4.07,17.774,5.808,7.44,12.358,2.36,2.254,3.23,0.972,4.316,0.036,1.69,0.634,0.116,1.376,5.904,0.186,10.888
P00131,3.77,10.688,6.438,6.124,16.086,9.158,3.344,12.674,1.916,1.824,1.806,2.208,5.704,0.18,2.378,0.71,2.796,0.216,0.82,0.28,10.88
P00132,6.204,8.74,6.46,3.308,24.408,5.942,1.746,5.626,6.378,0.468,1.84,3.922,2.418,2.106,0.262,0.954,2.528,0.11,4.684,0.924,10.972
P00133,2.584,8.23,6.184,4.426,24.06,7.336,1.72,6.64,1.226,2.626,4.092,6.068,4.39,0.754,1.058,0.662,1.122,0.042,0.134,0.226,16.42
P00134,2.464,5.912,5.804,6.494,20.344,8.458,2.542,6.76,2.778,1.528,4.292,2.212,3.744,3.45,4.02,3.128,1.552,0.102,0.582,0.35,13.484
P00135,2.05,9.144,1.26,3.088,24.934,4.62,3.812,14.104,2.852,0.71,2.788,4.528,0.198,1.672,2.986,3.32,1.102,0.964,0.696,5.176,9.996
P00136,1.512,11.06,1.26,3.518,29.682,3.048,8.756,9.358,2.024,2.558,0.8,1.084,2.85,0.596,1.396,0.708,0.308,1.502,3.26,2.692,12.028
P00137,6.914,11.89,4.99,10.038,17.93,7.138,3.872,5.384,1.436,0.33,3.316,3.706,0.472,0.806,1.996,1.868,2.248,0.76,1.148,0.084,13.674
P00138,3.7943,11.7249,4.6264,4.9444,17.9854,3.2223,9.0707,8.4967,3.0462,0.512,4.4684,1.3321,1.8661,1.1761,1.6301,2.1982,1.8321,1.4321,0.316,0.0,16.3253
P00139,2.21,5.708,1.676,2.562,19.986,5.222,3.988,12.092,1.73,8.34,1.372,2.708,0.628,5.694,3.406,0.4,3.276,2.282,2.386,2.072,12.262
P00140,,,,,,,,,,,,,,,,,,,,,
P00141,1.066,5.152,2.618,3.542,25.856,5.418,4.73,7.448,3.148,3.658,3.892,1.66,2.208,2.238,1.44,1.606,1.772,2.498,8.412,0.056,11.582
P00142,2.122,5.016,4.27,3.214,22.772,6.266,1.326,13.384,5.156,2.884,0.51,2.538,3.114,3.358,6.498,2.366,3.546,1.496,2.662,1.004,6.498
P00143,6.5,16.848,3.732,4.272,15.098,4.046,4.686,14.502,5.164,0.856,0.842,2.002,2.3,1.388,1.982,3.56,1.732,0.062,1.878,0.454,8.096
P00144,,,,,,,,,,,,,,,,,,,,,
P00145,2.72,12.258,4.288,4.91,24.134,4.764,5.04,8.784,5.65,0.676,6.602,2.098,2.246,0.024,1.234,0.156,1.186,0.144,2.868,0.07,10.148
P00146,3.394,12.852,9.276,3.466,16.194,6.82,2.268,15.376,3.842,1.646,4.142,2.426,2.316,0.754,1.56,1.488,2.018,0.668,1.608,0.576,7.31
P00147,4.676,10.638,6.092,3.836,27.112,4.466,1.882,8.18,1.134,3.922,3.502,2.688,0.43,0.068,2.076,1.008,1.774,0.154,0.952,0.694,14.716
P00148,2.39,6.518,1.858,2.262,20.256,6.574,5.476,17.768,4.604,4.53,6.77,0.212,2.704,0.22,1.244,1.308,6.444,0.09,2.72,0.424,5.628
P00149,1.376,12.09,9.68,9.714,13.74,11.032,2.68,11.436,3.708,0.576,0.274,2.468,3.362,0.99,0.066,0.828,1.51,1.134,0.354,0.128,12.854
P00150,1.36,13.594,5.022,9.682,18.062,3.73,3.256,5.762,7.216,0.318,4.534,2.55,3.688,0.998,1.892,2.208,0.618,0.144,0.492,0.694,14.18
P00151,1.5961,17.1634,5.0544,3.3603,12.101,17.3614,2.1762,8.3647,0.9481,1.3461,3.5023,2.2442,1.4441,1.4901,0.486,2.0202,1.3241,1.4621,6.9266,0.0,9.6288
P00152,1.058,17.98,7.656,3.652,12.374,7.122,6.994,8.45,4.95,1.432,3.864,2.22,4.728,1.128,1.032,2.21,1.55,0.06,0.218,0.594,10.728
P00153,1.362,6.202,3.036,2.558,21.178,8.554,4.414,7.936,4.252,3.202,0.672,2.924,0.512,6.438,0.328,2.354,1.736,2.068,5.772,2.988,11.514
P00154,4.774,8.702,5.268,4.708,19.304,5.066,1.884,9.974,4.448,1.036,10.506,3.106,4.086,3.066,0.426,0.36,0.046,0.726,0.906,0.818,10.79
P00155,5.48,8.074,4.278,4.494,12.432,17.874,2.302,9.868,3.35,0.724,1.75,1.508,1.46,1.586,0.946,5.34,2.39,0.758,5.022,0.086,10.278
P00156,0.954,10.526,1.184,3.71,15.77,13.16,1.746,8.918,8.586,2.394,3.976,1.092,0.944,1.666,0.796,4.094,0.26,3.42,0.396,4.664,11.744
P00157,3.39,7.348,3.244,4.804,29.824,6.852,3.7,13.372,1.896,1.002,1.978,0.664,1.164,0.412,2.372,0.588,1.042,0.08,1.56,0.92,13.788
P00158,4.182,6.652,4.304,7.13,23.178,5.1,9.276,6.06,1.952,1.848,2.34,2.832,0.308,0.682,2.986,3.9,1.53,2.548,0.936,0.648,11.608
P00159,2.158,8.76,2.448,3.886,21.452,10.026,1.186,8.422,3.614,3.13,2.136,3.262,4.606,0.674,0.908,3.954,3.61,0.79,3.77,2.692,8.516
P00160,0.744,8.006,5.332,1.43,31.664,7.214,4.974,7.736,4.89,2.168,3.426,1.35,0.924,1.264,0.27,2.124,1.276,0.236,0.488,0.438,14.046
P00161,2.002,5.14,4.486,3.85,25.656,9.766,5.622,6.082,3.692,3.108,3.072,2.982,1.058,0.076,3.962,0.522,1.304,0.728,3.836,1.624,11.432
P00162,3.068,8.898,5.656,4.404,13.926,3.838,3.66,16.544,2.972,0.722,2.806,1.668,5.81,0.042,2.582,0.914,2.196,0.016,0.91,0.094,19.274
P00163,1.0,7.37,7.854,6.528,16.732,7.814,4.402,4.112,6.166,0.624,2.186,1.086,2.486,1.468,1.116,10.464,0.28,2.038,0.154,0.462,15.658
P00164,3.582,11.146,3.54,3.596,25.492,8.56,2.484,6.798,3.756,0.904,0.708,3.746,1.822,0.174,4.902,1.492,3.526,2.9,1.004,1.766,8.102
P00165,2.296,2.756,2.16,3.302,14.82,7.07,4.632,11.152,3.964,7.45,0.944,4.164,1.434,4.62,0.226,0.58,0.422,2.622,6.054,2.938,16.394
P00166,5.7,12.124,3.874,7.712,13.5,10.058,0.766,14.796,0.758,3.05,3.984,3.45,2.748,1.212,0.902,1.236,2.968,0.024,1.916,2.12,7.102
