Patient_ID,Split
P17065,train
P19011,train
P18667,train
P04670,train
P07861,train
P05342,train
P03690,train
P03598,train
P13172,train
P19881,train
P06896,train
P10298,train
P02429,train
P05431,train
P02002,train
P13546,train
P02887,train
P03178,train
P18654,train
P10563,train
P12784,train
P17594,train
P07955,train
P04941,train
P04319,train
P12985,train
P00572,train
P06031,train
P16663,train
P09047,train
P17285,train
P04357,train
P07792,train
P14373,train
P07321,train
P07568,train
P19158,train
P00645,train
P14771,train
P04584,train
P16295,train
P07219,train
P10363,train
P12809,train
P18599,train
P06071,train
P09511,train
P13448,train
P09220,train
P16974,train
P10093,train
P13104,train
P12842,train
P03928,train
P00907,train
P06911,train
P06055,train
P00678,train
P13031,train
P04870,train
P15039,train
P10693,train
P08295,train
P05569,train
P18191,train
P10713,train
P15561,train
P17031,train
P06530,train
P12476,train
P02637,train
P01061,train
P19793,train
P14925,train
P04950,train
P00346,train
P05486,train
P14230,train
P01997,train
P09654,train
P16950,train
P02201,train
P12800,train
P12746,train
P10263,train
P10530,train
P09466,train
P18414,train
P11823,train
P05547,train
P19918,train
P18586,train
P15115,train
P16181,train
P05975,train
P09257,train
P18762,train
P17355,train
P08957,train
P07103,train
P09304,train
P01019,train
P11791,train
P09319,train
P18173,train
P19841,train
P10711,train
P12906,train
P09620,train
P04272,train
P05749,train
P04201,train
P06743,train
P19027,train
P09029,train
P10851,train
P09715,train
P11350,train
P09269,train
P01546,train
P05924,train
P04439,train
P01096,train
P18084,train
P02924,train
P09855,train
P10557,train
P03083,train
P03368,train
P10605,train
P10052,train
P11265,train
P15897,train
P10800,train
P00005,train
P05119,train
P09792,train
P06880,train
P15985,train
P02948,train
P19272,train
P11123,train
P02799,train
P08499,train
P02485,train
P16235,train
P15054,train
P09316,train
P00735,train
P08328,train
P08809,train
P08578,train
P10788,train
P14431,train
P19555,train
P11799,train
P12578,train
P17820,train
P13361,train
P13036,train
P18835,train
P07324,train
P06601,train
P04779,train
P05148,train
P05905,train
P19400,train
P15789,train
P15278,train
P18614,train
P17587,train
P17999,train
P10312,train
P09152,train
P02908,train
P13538,train
P02268,train
P08090,train
P01790,train
P04519,train
P18820,train
P01526,train
P14589,train
P19349,train
P19032,train
P02324,train
P10755,train
P18298,train
P11790,train
P02704,train
P06563,train
P00900,train
P03322,train
P02186,train
P12131,train
P05499,train
P08081,train
P02856,train
P08606,train
P04824,train
P16947,train
P14275,train
P12690,train
P01711,train
P14614,train
P11391,train
P11613,train
P10776,train
P10981,train
P14897,train
P10493,train
P15711,train
P09572,train
P09776,train
P05572,train
P07587,train
P15712,train
P10086,train
P00110,train
P11860,train
P13821,train
P05203,train
P11801,train
P15943,train
P06552,train
P07810,train
P19262,train
P00509,train
P01561,train
P11638,train
P14163,train
P09149,train
P02686,train
P03927,train
P07457,train
P01781,train
P07842,train
P19060,train
P18680,train
P13758,train
P15688,train
P16197,train
P03684,train
P06380,train
P13026,train
P13985,train
P10495,train
P16874,train
P09711,train
P16620,train
P17545,train
P14199,train
P12735,train
P04098,train
P05369,train
P16931,train
P04492,train
P12414,train
P17955,train
P05797,train
P12208,train
P18018,train
P15343,train
P14186,train
P02250,train
P05021,train
P19219,train
P08687,train
P01904,train
P00026,train
P19089,train
P15162,train
P08358,train
P01936,train
P06707,train
P10445,train
P13468,train
P08876,train
P04960,train
P05236,train
P17765,train
P13495,train
P05535,train
P07989,train
P12360,train
P14182,train
P18021,train
P17535,train
P01674,train
P03265,train
P13902,train
P04342,train
P16783,train
P01787,train
P09001,train
P16047,train
P07592,train
P04027,train
P12534,train
P18679,train
P17020,train
P14741,train
P03157,train
P00783,train
P13596,train
P08727,train
P14781,train
P16241,train
P07649,train
P11101,train
P01390,train
P02150,train
P12079,train
P04497,train
P19216,train
P19764,train
P03531,train
P16834,train
P10327,train
P01466,train
P05491,train
P05027,train
P18041,train
P05666,train
P03383,train
P02280,train
P10511,train
P12781,train
P06913,train
P08427,train
P10734,train
P06946,train
P10291,train
P06486,train
P18334,train
P00756,train
P08486,train
P00015,train
P18319,train
P17778,train
P19275,train
P08673,train
P15748,train
P19077,train
P17651,train
P08841,train
P09537,train
P11149,train
P15683,train
P02084,train
P16300,train
P15003,train
P13351,train
P17898,train
P08051,train
P06258,train
P18497,train
P07679,train
P19156,train
P17589,train
P13463,train
P03007,train
P17486,train
P12291,train
P08384,train
P18221,train
P17228,train
P09011,train
P00825,train
P12223,train
P00061,train
P13483,train
P17989,train
P17436,train
P18485,train
P19709,train
P00628,train
P18493,train
P01555,train
P16547,train
P13886,train
P18151,train
P09300,train
P01992,train
P10999,train
P00335,train
P04722,train
P12265,train
P18121,train
P04473,train
P16456,train
P17144,train
P10980,train
P01554,train
P04505,train
P01542,train
P15349,train
P00447,train
P05363,train
P03938,train
P00112,train
P13271,train
P01374,train
P17623,train
P07301,train
P05214,train
P12629,train
P11910,train
P16182,train
P11831,train
P17274,train
P07920,train
P09905,train
P03061,train
P07731,train
P09657,train
P09447,train
P00286,train
P03082,train
P16313,train
P05028,train
P03998,train
P13201,train
P14799,train
P07467,train
P02489,train
P17845,train
P04592,train
P11150,train
P05901,train
P14676,train
P01222,train
P16759,train
P06381,train
P05198,train
P06708,train
P13139,train
P15893,train
P17335,train
P11779,train
P10028,train
P16147,train
P05285,train
P01800,train
P06287,train
P13205,train
P10966,train
P16454,train
P18198,train
P01899,train
P13691,train
P09983,train
P02411,train
P03075,train
P11195,train
P13741,train
P05140,train
P01438,train
P18954,train
P00309,train
P07162,train
P03567,train
P01924,train
P17451,train
P15916,train
P05301,train
P01343,train
P00707,train
P12812,train
P07695,train
P03517,train
P10906,train
P07055,train
P01545,train
P19766,train
P13487,train
P07342,train
P09695,train
P19096,train
P00219,train
P01634,train
P18816,train
P01110,train
P18028,train
P11058,train
P16326,train
P08133,train
P04624,train
P06726,train
P07356,train
P17772,train
P15629,train
P12264,train
P18544,train
P06389,train
P05320,train
P04801,train
P03850,train
P11159,train
P18435,train
P06098,train
P14034,train
P10532,train
P10338,train
P03669,train
P16358,train
P08278,train
P04571,train
P03427,train
P12869,train
P14642,train
P00226,train
P09965,train
P08863,train
P14485,train
P01565,train
P12017,train
P03347,train
P00555,train
P05420,train
P09726,train
P07238,train
P17781,train
P12511,train
P04782,train
P19995,train
P08767,train
P04715,train
P08415,train
P12437,train
P04092,train
P11781,train
P13655,train
P08605,train
P06959,train
P06980,train
P07693,train
P15859,train
P13801,train
P00794,train
P03175,train
P18700,train
P15993,train
P12337,train
P15811,train
P08080,train
P02037,train
P02588,train
P16492,train
P11481,train
P01386,train
P06162,train
P12896,train
P10938,train
P04676,train
P16328,train
P15661,train
P15323,train
P18355,train
P12238,train
P02871,train
P02439,train
P06585,train
P02039,train
P12928,train
P08913,train
P14120,train
P01599,train
P00344,train
P04912,train
P11062,train
P14159,train
P19692,train
P05914,train
P05459,train
P07692,train
P18885,train
P13953,train
P05670,train
P10099,train
P11513,train
P17747,train
P01376,train
P00973,train
P00724,train
P19631,train
P07820,train
P16267,train
P14910,train
P00882,train
P17920,train
P00963,train
P04549,train
P14294,train
P15752,train
P18484,train
P11925,train
P02436,train
P16720,train
P15781,train
P06596,train
P16111,train
P12321,train
P13269,train
P01765,train
P14859,train
P05257,train
P15225,train
P02794,train
P03480,train
P03591,train
P19306,train
P03058,train
P11439,train
P15538,train
P09034,train
P06961,train
P15593,train
P08692,train
P05417,train
P10761,train
P00052,train
P17906,train
P10907,train
P10340,train
P15401,train
P19548,train
P06360,train
P16325,train
P00888,train
P10709,train
P11320,train
P10206,train
P00145,train
P11670,train
P12702,train
P13261,train
P06016,train
P18297,train
P19114,train
P10638,train
P04718,train
P11881,train
P16596,train
P08515,train
P14606,train
P15397,train
P02327,train
P12189,train
P01354,train
P14178,train
P02611,train
P04825,train
P12117,train
P16039,train
P07137,train
P17088,train
P02721,train
P07923,train
P19920,train
P04819,train
P17102,train
P05650,train
P01497,train
P02608,train
P05171,train
P09153,train
P01538,train
P12538,train
P02235,train
P04006,train
P18813,train
P17098,train
P16495,train
P00197,train
P14992,train
P00995,train
P17395,train
P11550,train
P07944,train
P14561,train
P06184,train
P04945,train
P05205,train
P09330,train
P05937,train
P17240,train
P16158,train
P16811,train
P04062,train
P13325,train
P01275,train
P01529,train
P05866,train
P09468,train
P11577,train
P16101,train
P05740,train
P18851,train
P18049,train
P14636,train
P19493,train
P04587,train
P15902,train
P12127,train
P16734,train
P12075,train
P07975,train
P19136,train
P15556,train
P04185,train
P00813,train
P11337,train
P14683,train
P17284,train
P19059,train
P06584,train
P02975,train
P14862,train
P06920,train
P01311,train
P08633,train
P10546,train
P08833,train
P14418,train
P08621,train
P06475,train
P11412,train
P00301,train
P10570,train
P00137,train
P08773,train
P07254,train
P20000,train
P12376,train
P15590,train
P18589,train
P04910,train
P05009,train
P19197,train
P00324,train
P01935,train
P10983,train
P14678,train
P15076,train
P19932,train
P14735,train
P05794,train
P18751,train
P06338,train
P14344,train
P04932,train
P15310,train
P13037,train
P07168,train
P19196,train
P14271,train
P02305,train
P05141,train
P01120,train
P17632,train
P07750,train
P05973,train
P00608,train
P10947,train
P15172,train
P18916,train
P03970,train
P17406,train
P13811,train
P15048,train
P00740,train
P11423,train
P17050,train
P08680,train
P10864,train
P02762,train
P09722,train
P16423,train
P16573,train
P06405,train
P18426,train
P02606,train
P10486,train
P08046,train
P15743,train
P16606,train
P17207,train
P05276,train
P04329,train
P08411,train
P09734,train
P18800,train
P05332,train
P00183,train
P00434,train
P08169,train
P02455,train
P10560,train
P08579,train
P02424,train
P19512,train
P19551,train
P18855,train
P14314,train
P02461,train
P00121,train
P09545,train
P19998,train
P15925,train
P17039,train
P06876,train
P15914,train
P01266,train
P11552,train
P03406,train
P06243,train
P11384,train
P07087,train
P05500,train
P17099,train
P02566,train
P18068,train
P08120,train
P16703,train
P07381,train
P01399,train
P10004,train
P06053,train
P06280,train
P09858,train
P18519,train
P06293,train
P08711,train
P07290,train
P09785,train
P08678,train
P08089,train
P06516,train
P11712,train
P18217,train
P11850,train
P01515,train
P09714,train
P14331,train
P02047,train
P19867,train
P00035,train
P06840,train
P07046,train
P07917,train
P16915,train
P06005,train
P08139,train
P12050,train
P01923,train
P01772,train
P04814,train
P11892,train
P08873,train
P17351,train
P07866,train
P11437,train
P07134,train
P05410,train
P07323,train
P03142,train
P12552,train
P06578,train
P01646,train
P12210,train
P15775,train
P03256,train
P01530,train
P15169,train
P12398,train
P13249,train
P17465,train
P09140,train
P09046,train
P03358,train
P07914,train
P00731,train
P03362,train
P09596,train
P12936,train
P07090,train
P17313,train
P05173,train
P18692,train
P08190,train
P06814,train
P09633,train
P05026,train
P05343,train
P06349,train
P19540,train
P07843,train
P00242,train
P05129,train
P09660,train
P00271,train
P08170,train
P13946,train
P01366,train
P09933,train
P16510,train
P02736,train
P10474,train
P17048,train
P17297,train
P18335,train
P07495,train
P06851,train
P11494,train
P03856,train
P11721,train
P09265,train
P00105,train
P17635,train
P16789,train
P10124,train
P11637,train
P14161,train
P10886,train
P06868,train
P11470,train
P10722,train
P01776,train
P05834,train
P19906,train
P13686,train
P15946,train
P07141,train
P06165,train
P06056,train
P03556,train
P09816,train
P04237,train
P07163,train
P00935,train
P19308,train
P09173,train
P12963,train
P16537,train
P18053,train
P02840,train
P02355,train
P11945,train
P02851,train
P12905,train
P17271,train
P16287,train
P15718,train
P13636,train
P01650,train
P09980,train
P11114,train
P08964,train
P04016,train
P13118,train
P10337,train
P06917,train
P16091,train
P12266,train
P03800,train
P06190,train
P16578,train
P14770,train
P02751,train
P01075,train
P18530,train
P06186,train
P18296,train
P08665,train
P04553,train
P14717,train
P09065,train
P04250,train
P10313,train
P16682,train
P15318,train
P13504,train
P04400,train
P04687,train
P13882,train
P07215,train
P14578,train
P15501,train
P17876,train
P14911,train
P00385,train
P03956,train
P16191,train
P08715,train
P09614,train
P04106,train
P18761,train
P14330,train
P10647,train
P14487,train
P06385,train
P12777,train
P00884,train
P01644,train
P19805,train
P15233,train
P09004,train
P18894,train
P14001,train
P11934,train
P09846,train
P00855,train
P07115,train
P17236,train
P12016,train
P02491,train
P17575,train
P18202,train
P15879,train
P01268,train
P14772,train
P14534,train
P12919,train
P18809,train
P12660,train
P16081,train
P07973,train
P07129,train
P15190,train
P03418,train
P08161,train
P19886,train
P02962,train
P08848,train
P07514,train
P14888,train
P11354,train
P02817,train
P07879,train
P19523,train
P00814,train
P19714,train
P19990,train
P01855,train
P19388,train
P12164,train
P05270,train
P12951,train
P01955,train
P03832,train
P05697,train
P08837,train
P11167,train
P01000,train
P04437,train
P08442,train
P13839,train
P15607,train
P02723,train
P10661,train
P05354,train
P15367,train
P13736,train
P19654,train
P15957,train
P00641,train
P12807,train
P18372,train
P12737,train
P08702,train
P07212,train
P19670,train
P11620,train
P10639,train
P13006,train
P13409,train
P18867,train
P02549,train
P02987,train
P14950,train
P10914,train
P01334,train
P05126,train
P13378,train
P17320,train
P07628,train
P00169,train
P17279,train
P12285,train
P13181,train
P11891,train
P09504,train
P18945,train
P09461,train
P19039,train
P08590,train
P15960,train
P04540,train
P14853,train
P12541,train
P02607,train
P03424,train
P16439,train
P11269,train
P00588,train
P02244,train
P12431,train
P15477,train
P15746,train
P14049,train
P12130,train
P05730,train
P09134,train
P18437,train
P18059,train
P05677,train
P07097,train
P09507,train
P02917,train
P04865,train
P06083,train
P04412,train
P09346,train
P05986,train
P17508,train
P08436,train
P09895,train
P14300,train
P05040,train
P13390,train
P04733,train
P17953,train
P09517,train
P07292,train
P15066,train
P16430,train
P06286,train
P11819,train
P13092,train
P09740,train
P09411,train
P09664,train
P03650,train
P04656,train
P10072,train
P14021,train
P00785,train
P19874,train
P15812,train
P18915,train
P03984,train
P17824,train
P04535,train
P16204,train
P13848,train
P00587,train
P08146,train
P13251,train
P05389,train
P03877,train
P00961,train
P02719,train
P04808,train
P00851,train
P09041,train
P01067,train
P02125,train
P13519,train
P17529,train
P17722,train
P14540,train
P07872,train
P15455,train
P01589,train
P08179,train
P13687,train
P12153,train
P12760,train
P09950,train
P12451,train
P14924,train
P13987,train
P11220,train
P03989,train
P16506,train
P17091,train
P14082,train
P13957,train
P07999,train
P19044,train
P03961,train
P11459,train
P19798,train
P02645,train
P03471,train
P07345,train
P16586,train
P08949,train
P18610,train
P17570,train
P08108,train
P09523,train
P01457,train
P00492,train
P12470,train
P02542,train
P18776,train
P03816,train
P06794,train
P19260,train
P04767,train
P19126,train
P04644,train
P11907,train
P10223,train
P11162,train
P16215,train
P06444,train
P12162,train
P19009,train
P04449,train
P16498,train
P11858,train
P14086,train
P09487,train
P01478,train
P06152,train
P06325,train
P07676,train
P01788,train
P10077,train
P06941,train
P11317,train
P18941,train
P18042,train
P16739,train
P01557,train
P12005,train
P17592,train
P12648,train
P09296,train
P10376,train
P17850,train
P09389,train
P03237,train
P00194,train
P07721,train
P16713,train
P18724,train
P06050,train
P13287,train
P09401,train
P00436,train
P19600,train
P15355,train
P05101,train
P09379,train
P15550,train
P18562,train
P03594,train
P02082,train
P05707,train
P04574,train
P07672,train
P14421,train
P02371,train
P10456,train
P15761,train
P14397,train
P04900,train
P10648,train
P09187,train
P09624,train
P17616,train
P18992,train
P14372,train
P15994,train
P19392,train
P13010,train
P15807,train
P10807,train
P08303,train
P13184,train
P19166,train
P02237,train
P18512,train
P07176,train
P00850,train
P17071,train
P16600,train
P12226,train
P00429,train
P12458,train
P02505,train
P09951,train
P03129,train
P12513,train
P15763,train
P15868,train
P11653,train
P02265,train
P14597,train
P17440,train
P04179,train
P10752,train
P13190,train
P17360,train
P17333,train
P05347,train
P07019,train
P18764,train
P01517,train
P01382,train
P13528,train
P08106,train
P12126,train
P16717,train
P10720,train
P13068,train
P11715,train
P13313,train
P01169,train
P13920,train
P08722,train
P02536,train
P19849,train
P05490,train
P05206,train
P06719,train
P09078,train
P12835,train
P01868,train
P18576,train
P13286,train
P10425,train
P04925,train
P06172,train
P19517,train
P14473,train
P13415,train
P07280,train
P00804,train
P09625,train
P19287,train
P13247,train
P17118,train
P09039,train
P07386,train
P00454,train
P19927,train
P05466,train
P12214,train
P07006,train
P03232,train
P10928,train
P18887,train
P05219,train
P11416,train
P17841,train
P03067,train
P02859,train
P10139,train
P16305,train
P16421,train
P13788,train
P17347,train
P08661,train
P11375,train
P15698,train
P01224,train
P02334,train
P18747,train
P00891,train
P01648,train
P07178,train
P03559,train
